"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"RF",0.2,"MNAR",0.2,0,0,1,26,200,5200,4.56443953514099,2.64585627564443
"min",0.2,"MNAR",0.2,0,0,1,26,200,5200,0.0803616046905518,1.31433703261362
"mean",0.2,"MNAR",0.2,0,0,1,26,200,5200,0.0753114223480225,2.62159297736947
"LLS",0.2,"MNAR",0.2,0,0,1,26,200,5200,5.45789551734924,3.91383512257943
"KNNImpute",0.2,"MNAR",0.2,0,0,1,26,200,5200,5.45789551734924,NA
"BPCA",0.2,"MNAR",0.2,0,0,1,26,200,5200,0.216527462005615,2.62159297736947
"svdImpute",0.2,"MNAR",0.2,0,0,1,26,200,5200,0.378636121749878,4.05201724406154
"PPCA",0.2,"MNAR",0,0,0.2,1,26,200,5200,0.378636121749878,NA
"RF",0.2,"MAR",0,0,0.2,1,26,200,5200,4.67597413063049,1.03857728205199
"min",0.2,"MAR",0,0,0.2,1,26,200,5200,0.0815742015838623,2.11244143795625
"mean",0.2,"MAR",0,0,0.2,1,26,200,5200,0.0749530792236328,1.03168052366458
"LLS",0.2,"MAR",0,0,0.2,1,26,200,5200,5.63743209838867,1.70543407007403
"KNNImpute",0.2,"MAR",0,0,0.2,1,26,200,5200,0.00167441368103027,1.06590674034149
"BPCA",0.2,"MAR",0,0,0.2,1,26,200,5200,0.267029047012329,1.03168052366458
"svdImpute",0.2,"MAR",0,0,0.2,1,26,200,5200,0.217987298965454,2.08497738882499
"PPCA",0.2,"MAR",0.1,0.1,0,1,26,200,5200,0.217987298965454,NA
"RF",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,4.93847751617432,1.39979699884872
"min",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,0.0816671848297119,1.29953333796563
"mean",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,0.0750069618225098,1.38047645785614
"LLS",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,5.9171416759491,1.60046948448732
"KNNImpute",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,5.9171416759491,NA
"BPCA",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,0.218596935272217,1.38047645785614
"svdImpute",0.2,"MNARMCAR",0.1,0.1,0,1,26,200,5200,0.786240100860596,3.04484362764302
"PPCA",0.2,"MARMCAR",0,0.1,0.1,1,26,200,5200,50.3604328632355,1.13870769226156
