"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"LLS",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,5.40150647560755,21.3235808448722
"KNNImpute",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,0.0264585018157959,1.351603242749
"BPCA",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,7.26605749130249,1.31778521094875
"PPCA",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,13.5491173863411,1.21110815652703
"RF",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,2.05304638942083,1.20760816255719
"min",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,0.316934585571289,1.41166558446913
"mean",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,0.327313661575317,1.19922369577064
"LLS",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,5.47376065651576,5.33809817239408
"KNNImpute",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,0.0252914428710938,1.2305893485433
"BPCA",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,75,1000,75000,7.15410757064819,1.19922369577064
"PPCA",0.6," MNAR  MAR  MCAR ",0,0.6,0,1,75,1000,75000,7.15410757064819,NA
"RF",0.6," MCAR ",0,0.6,0,1,75,1000,75000,58.6348943710327,1.02217881186424
"min",0.6," MCAR ",0,0.6,0,1,75,1000,75000,0.320763826370239,2.32083029632949
"mean",0.6," MCAR ",0,0.6,0,1,75,1000,75000,0.328039169311523,1.01494791741796
"LLS",0.6," MCAR ",0,0.6,0,1,75,1000,75000,3.64027917782466,1.70619619189671
"KNNImpute",0.6," MCAR ",0,0.6,0,1,75,1000,75000,0.00783038139343262,8.04524840237614
"BPCA",0.6," MCAR ",0,0.6,0,1,75,1000,75000,17.2997221946716,1.01494791741796
"PPCA",0.6," MCAR ",0.6,0,0,1,75,1000,75000,17.2997221946716,NA
"RF",0.6," MNAR ",0.6,0,0,1,75,1000,75000,57.7433903217316,2.51462383656133
"min",0.6," MNAR ",0.6,0,0,1,75,1000,75000,0.317531585693359,1.6021396263977
"mean",0.6," MNAR ",0.6,0,0,1,75,1000,75000,0.332334995269775,2.50389675989276
"LLS",0.6," MNAR ",0.6,0,0,1,75,1000,75000,3.6210963845253,5.33690299591711
"KNNImpute",0.6," MNAR ",0.6,0,0,1,75,1000,75000,0.0246849060058594,2.5272966055486
"BPCA",0.6," MNAR ",0.6,0,0,1,75,1000,75000,8.72596001625061,2.50389675989276
"PPCA",0.6," MNAR ",0,0,0.6,1,75,1000,75000,8.72596001625061,NA
"RF",0.6," MAR ",0,0,0.6,1,75,1000,75000,57.9849979877472,1.02407372599081
"min",0.6," MAR ",0,0,0.6,1,75,1000,75000,0.319884300231934,2.33477993825299
"mean",0.6," MAR ",0,0,0.6,1,75,1000,75000,0.331007242202759,1.01769873503739
"LLS",0.6," MAR ",0,0,0.6,1,75,1000,75000,3.64525032838186,2.51167317575952
"KNNImpute",0.6," MAR ",0,0,0.6,1,75,1000,75000,3.64525032838186,NA
"BPCA",0.6," MAR ",0,0,0.6,1,75,1000,75000,15.093691110611,1.01769873503739
"PPCA",0.6," MAR ",0.3,0.3,0,1,75,1000,75000,15.093691110611,NA
"RF",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,57.1652948856354,1.49388617958049
"min",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,0.317434549331665,1.14486608037992
"mean",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,0.331321716308594,1.48706970865394
"LLS",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,3.62995739777883,3.31488457365609
"KNNImpute",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,0.0279972553253174,1.52251267262691
"BPCA",0.6," MNAR  MCAR ",0.3,0.3,0,1,75,1000,75000,9.67889809608459,1.48706970865394
"PPCA",0.6," MNAR  MCAR ",0,0.3,0.3,1,75,1000,75000,9.67889809608459,NA
"RF",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,58.4671263694763,1.02884436669022
"min",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,0.318238019943237,2.32371543839467
"mean",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,0.330389261245728,1.02102914786977
"LLS",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,3.6717702905337,2.09708853756729
"KNNImpute",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,0.0078423023223877,8.08414947995271
"BPCA",0.6," MAR  MCAR ",0,0.3,0.3,1,75,1000,75000,16.4122500419617,1.02102914786977
"PPCA",0.6," MAR  MCAR ",0.3,0,0.3,1,75,1000,75000,16.4122500419617,NA
"RF",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,57.8938848972321,1.29609981992032
"min",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,0.317251205444336,1.14743529735587
"mean",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,0.331524133682251,1.29124044838861
"LLS",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,0.331524133682251,NA
"KNNImpute",0.6," MNAR  MAR ",0.3,0,0.3,1,75,1000,75000,0.00768756866455078,NA
