"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,337,27,9099,0.0687940748638276,1.55831999015709
"mean",0.05,0,0.05,0,1,337,27,9099,0.0166847121147217,1.00376534447814
"mean",0.05,0.05,0,0,1,337,27,9099,0.109735530689012,3.24225771097103
"mean",0.05,0,0,0.05,1,337,27,9099,0.0142935452000456,0.997164501134447
"mean",0.05,0.025,0.025,0,1,337,27,9099,0.0600355427421099,1.39733230079515
"mean",0.05,0,0.025,0.025,1,337,27,9099,0.0175182356057755,1.00275719427659
"mean",0.05,0.025,0,0.025,1,337,27,9099,0.0567415660334249,1.31649630520048
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,337,27,9099,0.0507060385120512,1.33917882620567
"mean",0.01,0,0.01,0,1,337,37,12469,0.0180632227574741,1.00397266782168
"mean",0.01,0.01,0,0,1,337,37,12469,0.105576621702788,3.3982429161615
"mean",0.01,0,0,0.01,1,337,37,12469,0.013733016512648,1.00345741976585
"mean",0.01,0.005,0.005,0,1,337,37,12469,0.0476984353313636,1.55035586564876
"mean",0.01,0,0.005,0.005,1,337,37,12469,0.0138078860805498,1.03273376562048
"mean",0.01,0.005,0,0.005,1,337,37,12469,0.0555069213812483,1.2575491603787
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,337,37,12469,0.0753385767976875,1.56684964866329
"mean",0.05,0,0.05,0,1,337,37,12469,0.0168595382766615,1.00040754041685
"mean",0.05,0.05,0,0,1,337,37,12469,0.091530063742917,3.2205162257106
"mean",0.05,0,0,0.05,1,337,37,12469,0.0156290075928691,1.00180501566722
"mean",0.05,0.025,0.025,0,1,337,37,12469,0.0464069261005001,1.37436512249302
"mean",0.05,0,0.025,0.025,1,337,37,12469,0.0147355316116948,1.00582120004027
"mean",0.05,0.025,0,0.025,1,337,37,12469,0.0502645069187181,1.37092646407169
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,337,37,12469,0.0504528103059665,1.34151319799298
"mean",0.01,0,0.01,0,1,337,46,15502,0.0140445396705772,0.998885145678913
"mean",0.01,0.01,0,0,1,337,46,15502,0.0889258352067987,3.56133858856591
"mean",0.01,0,0,0.01,1,337,46,15502,0.0171080334322504,1.00070195972442
"mean",0.01,0.005,0.005,0,1,337,46,15502,0.0494414929522914,1.42263356444326
"mean",0.01,0,0.005,0.005,1,337,46,15502,0.0121171337227871,0.993099493003645
"mean",0.01,0.005,0,0.005,1,337,46,15502,0.0606874378317833,1.47262631726099
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,337,46,15502,0.0498500162282807,1.482787665099
"mean",0.05,0,0.05,0,1,337,46,15502,0.0150505866257616,0.998918315304887
"mean",0.05,0.05,0,0,1,337,46,15502,0.0963260618108609,3.24402554653435
"mean",0.05,0,0,0.05,1,337,46,15502,0.0156042093654711,1.00485907307037
"mean",0.05,0.025,0.025,0,1,337,46,15502,0.048521257925192,1.32208539828805
"mean",0.05,0,0.025,0.025,1,337,46,15502,0.0149787551843388,0.999763616276712
"mean",0.05,0.025,0,0.025,1,337,46,15502,0.0550893336418285,1.3320019528516
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,337,46,15502,0.053636254040947,1.29792858489101
"mean",0.01,0,0.01,0,1,337,24,8088,0.014913062908038,1.02346858810891
"mean",0.01,0.01,0,0,1,337,24,8088,0.132662108157439,4.55855161482739
"mean",0.01,0,0,0.01,1,337,24,8088,0.0185704414837831,1.00625760548108
"mean",0.01,0.005,0.005,0,1,337,24,8088,0.0559338668023599,1.33432215376927
"mean",0.01,0,0.005,0.005,1,337,24,8088,0.0146746541282574,0.985008074216884
"mean",0.01,0.005,0,0.005,1,337,24,8088,0.0669727641028832,1.38465211147012
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,337,24,8088,0.0578211890237142,1.49051953686683
"mean",0.05,0,0.05,0,1,337,24,8088,0.0140446514935614,1.00131461467117
"mean",0.05,0.05,0,0,1,337,24,8088,0.100958003877661,3.87254016955271
"mean",0.05,0,0,0.05,1,337,24,8088,0.0170831046264295,1.00168134904923
"mean",0.05,0.025,0.025,0,1,337,24,8088,0.055860061891638,1.40943273278524
"mean",0.05,0,0.025,0.025,1,337,24,8088,0.0192414659420226,1.00594624542241
"mean",0.05,0.025,0,0.025,1,337,24,8088,0.0440176405517348,1.32361778679856
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,337,24,8088,0.0489722224089162,1.45631647087687
"mean",0.01,0,0.01,0,1,561,43,24123,0.0153177040924728,1.00681563850323
"mean",0.01,0.01,0,0,1,561,43,24123,0.149248110605056,5.15852209362093
"mean",0.01,0,0,0.01,1,561,43,24123,0.0167608201806249,0.99515414412743
"mean",0.01,0.005,0.005,0,1,561,43,24123,0.0551820748698129,1.37405094354226
"mean",0.01,0,0.005,0.005,1,561,43,24123,0.0155082282148816,1.0066164572799
"mean",0.01,0.005,0,0.005,1,561,43,24123,0.0591723980677114,1.41890470109287
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,561,43,24123,0.0730371730944314,1.59087496294471
"mean",0.05,0,0.05,0,1,561,43,24123,0.0146911374352355,1.00098988694679
"mean",0.05,0.05,0,0,1,561,43,24123,0.101855901853359,3.51514310674542
"mean",0.05,0,0,0.05,1,561,43,24123,0.0150951165582233,1.00180916049834
"mean",0.05,0.025,0.025,0,1,561,43,24123,0.0468282066644201,1.37301620312095
"mean",0.05,0,0.025,0.025,1,561,43,24123,0.0158522158956063,1.00349524742907
"mean",0.05,0.025,0,0.025,1,561,43,24123,0.0473634745618155,1.34788327064058
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,561,43,24123,0.0476707001066042,1.32723891195881
"mean",0.01,0,0.01,0,1,561,27,15147,0.0162346111802395,1.00374114342175
"mean",0.01,0.01,0,0,1,561,27,15147,0.108978564029375,4.59117386639753
"mean",0.01,0,0,0.01,1,561,27,15147,0.0137474581436805,0.993547789648218
